ShortName	FullName
ATHYFIL	Athyrium filix-femina
ATHY-SP	Athyrium SPECIES
ATRACAN	Atractylis cancellata
ATRA-SP	Atractylis SPECIES
ATRICAN	Atriplex candicans
ATRIGLA	Atriplex glauca
ATRIG-G	Atriplex glauca subsp. glauca
ATRIHAL	Atriplex halimus
ATRIHOR	Atriplex hortensis
ATRIPAT	Atriplex patula
ATRIP-P	Atriplex patula subsp. patula
ATRIPOR	Atriplex portulacoides
ATRIPRO	Atriplex prostrata
ATRIP-R	Atriplex prostrata subsp. prostrata
ATRIROS	Atriplex rosea
ATRI-SP	Atriplex SPECIES
ATROBEL	Atropa bella-donna
ATRO-SP	Atropa SPECIES
AUCUJAP	Aucuba japonica
AUCUJ;J	Aucuba japonica var. japonica
AUCU-SP	Aucuba SPECIES
AUST-SP	Austrocylindropuntia SPECIES
AUSTSUB	Austrocylindropuntia subulata
AVELFIS	Avellara fistulosa
AVEL-SP	Avellara SPECIES
AVEIFES	Avellinia festucoides
AVEI-SP	Avellinia SPECIES
AVENBAR	Avena barbata
AVENBRE	Avena brevis
AVENFAT	Avena fatua
AVENLON	Avena longiglumis
AVENLUS	Avena lusitanica
AVENNUD	Avena nuda
AVENSAT	Avena sativa
AVEN-SP	Avena SPECIES
AVENSTE	Avena sterilis
AVENS-L	Avena sterilis subsp. ludoviciana
AVENS-S	Avena sterilis subsp. sterilis
AVENSTR	Avena strigosa
AVEEFLE	Avenella flexuosa
AVEEF-F	Avenella flexuosa subsp. flexuosa
AVEEF-S	Avenella flexuosa subsp. stricta
AVEE-SP	Avenella SPECIES
AVEUPUB	Avenula pubescens
AVEU-SP	Avenula SPECIES
AZOLCAR	Azolla caroliniana
AZOLFIL	Azolla filiculoides
AZOLF-F	Azolla filiculoides subsp. filiculoides
AZOL-SP	Azolla SPECIES
BACOMON	Bacopa monnieri
BACO-SP	Bacopa SPECIES
BALDALP	Baldellia alpestris
BALDRAN	Baldellia ranunculoides
BALDR;T	Baldellia ranunculoides var. tangerina
BALDREP	Baldellia repens
BALDR-C	Baldellia repens subsp. cavanillesii
BALDR-R	Baldellia repens subsp. repens
BALD-SP	Baldellia SPECIES
BALLNIG	Ballota nigra
BALLN-M	Ballota nigra subsp. meridionalis
BALLN-N	Ballota nigra subsp. nigra
BALLN-R	Ballota nigra subsp. ruderalis
BALL-SP	Ballota SPECIES
BARBINT	Barbarea intermedia
BARB-SP	Barbarea SPECIES
BARBVER	Barbarea verna
BARBVUL	Barbarea vulgaris
BELL-SP	Bellardia SPECIES
BELLTRI	Bellardia trixago
BELEDUB	Bellevalia dubia
BELED-H	Bellevalia dubia subsp. hackelii
BELE-SP	Bellevalia SPECIES
BELETRI	Bellevalia trifoliata
BELIANN	Bellis annua
BELIA-A	Bellis annua subsp. annua
BELIPER	Bellis perennis
BELI-SP	Bellis SPECIES
BELISYL	Bellis sylvestris
BELIS-P	Bellis sylvestris subsp. pappulosa
BELIS-S	Bellis sylvestris subsp. sylvestris
BERBJAP	Berberis japonica
BERB-SP	Berberis SPECIES
BERBVUL	Berberis vulgaris
BERBV-V	Berberis vulgaris subsp. vulgaris
BERUERE	Berula erecta
BERU-SP	Berula SPECIES
BETAMAC	Beta macrocarpa
