ShortName	FullName
BIDECER	Bidens cernua
BIDECON	Bidens connata
BIDEDIS	Bidens discoidea
BIDEEAT	Bidens eatonii
BIDEFRO	Bidens frondosa
BIDEHET	Bidens heterodoxa
BIDEHYP	Bidens hyperborea
BIDE-SP	Bidens SPECIES
BIDETRI	Bidens trichosperma
BIDETRP	Bidens tripartita
BIDEVUL	Bidens vulgata
BIST-SP	Bistorta SPECIES
BISTVIV	Bistorta vivipara
BLEPHIR	Blephilia hirsuta
BLEP-SP	Blephilia SPECIES
BLITBON	Blitum bonus-henricus
BLITCAP	Blitum capitatum
BLITC-C	Blitum capitatum subsp. capitatum
BLIT-SP	Blitum SPECIES
BLYSRUF	Blysmus rufus
BLYS-SP	Blysmus SPECIES
BOEHCYL	Boehmeria cylindrica
BOEH-SP	Boehmeria SPECIES
BOECCOL	Boechera collinsii
BOECDRU	Boechera drummondii
BOECGRA	Boechera grahamii
BOECQUE	Boechera quebecensis
BOECRET	Boechera retrofracta
BOEC-SP	Boechera SPECIES
BOLBFLU	Bolboschoenus fluviatilis
BOLBMAR	Bolboschoenus maritimus
BOLBM-P	Bolboschoenus maritimus subsp. paludosus
BOLB-SP	Bolboschoenus SPECIES
BORAOFF	Borago officinalis
BORA-SP	Borago SPECIES
BOROCAN	Borodinia canadensis
BOROLAE	Borodinia laevigata
BORO-SP	Borodinia SPECIES
BOTRANG	Botrychium angustisegmentum
BOTRASC	Botrychium ascendens
BOTRBOR	Botrychium boreale
BOTRCAM	Botrychium campestre
BOTRDIS	Botrychium dissectum
BOTRLAN	Botrychium lanceolatum
BOTRLIN	Botrychium lineare
BOTRMAT	Botrychium matricariifolium
BOTRMIN	Botrychium minganense
BOTRMOR	Botrychium mormo
BOTRMUL	Botrychium multifidum
BOTRNEO	Botrychium neolunaria
BOTRONE	Botrychium oneidense
BOTRONO	Botrychium onondagense
BOTRPAL	Botrychium pallidum
BOTRPED	Botrychium pedunculosum
BOTRRUG	Botrychium rugulosum
BOTRSIM	Botrychium simplex
BOTRSPA	Botrychium spathulatum
BOTR-SP	Botrychium SPECIES
BOTRVIR	Botrychium virginianum
BOTRV-V	Botrychium virginianum subsp. virginianum
BRACARI	Brachyelytrum aristosum
BRACERE	Brachyelytrum erectum
BRAC-SP	Brachyelytrum SPECIES
BRASSCH	Brasenia schreberi
BRAS-SP	Brasenia SPECIES
BRAINAP	Brassica napus
BRAIOLE	Brassica oleracea
BRAIRAP	Brassica rapa
BRAI-SP	Brassica SPECIES
BRAYGLA	Braya glabella
BRAYHUM	Braya humilis
BRAYH-H	Braya humilis subsp. humilis
BRAY-SP	Braya SPECIES
BRIZMAX	Briza maxima
BRIZ-SP	Briza SPECIES
BROMALE	Bromus aleutensis
BROMARV	Bromus arvensis
BROMCIL	Bromus ciliatus
BROMERE	Bromus erectus
BROMHOR	Bromus hordeaceus
BROMH-H	Bromus hordeaceus subsp. hordeaceus
BROMINE	Bromus inermis
BROMKAL	Bromus kalmii
BROMLAT	Bromus latiglumis
BROMPUB	Bromus pubescens
BROMPUM	Bromus pumpellianus
BROMRAC	Bromus racemosus
BROMSEC	Bromus secalinus
BROM-SP	Bromus SPECIES
BROMTEC	Bromus tectorum
BUGLARV	Buglossoides arvensis
BUGLA-A	Buglossoides arvensis subsp. arvensis
BUGL-SP	Buglossoides SPECIES
BULBCAP	Bulbostylis capillaris
BULBC-C	Bulbostylis capillaris subsp. capillaris
BULB-SP	Bulbostylis SPECIES
BUNIORI	Bunias orientalis
