ShortName	FullName
ANAC-SP	Anacamptis species
ANAA-SP	Anacamptodon species
ANAASPL	Anacamptodon splachnoides
ANAO-SP	Anacolia species
ANAOWEB	Anacolia webbii
ANAYCLA	Anacyclus clavatus
ANAY-SP	Anacyclus species
ANAGARV	Anagallis arvensis
ANAGFOE	Anagallis foemina
ANAGMON	Anagallis monelli
ANAG-SP	Anagallis species
ANAG*FO	Anagallis x doerfleri (A. arvensis x foemina)
ANAPMAR	Anaphalis margaritacea
ANAP-SP	Anaphalis species
ANATBRY	Anaptychia bryorum
ANATCIL	Anaptychia ciliaris
ANATCRI	Anaptychia crinalis
ANAT-SP	Anaptychia species
ANASORC	Anastrepta orcadensis
ANAS-SP	Anastrepta species
ANARASS	Anastrophyllum assimile
ANARCAV	Anastrophyllum cavifolium
ANARDON	Anastrophyllum donnianum
ANARHEL	Anastrophyllum hellerianum
ANARJOE	Anastrophyllum joergensenii
ANARMIC	Anastrophyllum michauxii
ANARMIN	Anastrophyllum minutum
ANARSAX	Anastrophyllum saxicola
ANAR-SP	Anastrophyllum species
ANARSPH	Anastrophyllum sphenoloboides
ANDRALP	Andreaea alpestris
ANDRALI	Andreaea alpina
ANDRBLY	Andreaea blytii
ANDRCRA	Andreaea crassinervia
ANDRFRI	Andreaea frigida
ANDRHEI	Andreaea heinemannii
ANDRMEG	Andreaea megistospora
ANDRMUT	Andreaea mutabilis
ANDRNIV	Andreaea nivalis
ANDROBO	Andreaea obovata
ANDRROT	Andreaea rothii
ANDRR-F	Andreaea rothii ssp. falcata
ANDRR-R	Andreaea rothii ssp. rothii
ANDRRUP	Andreaea rupestris
ANDRR;P	Andreaea rupestris var. papillosa
ANDRR;R	Andreaea rupestris var. rupestris
ANDRSIN	Andreaea sinuosa
ANDR-SP	Andreaea species
ANDOPOL	Andromeda polifolia
ANDO-SP	Andromeda species
ANDSELO	Androsace elongata
ANDSMAX	Androsace maxima
ANDSSEP	Androsace septentrionalis
ANDS-SP	Androsace species
ANEMDEC	Anema decipiens
ANEMNOT	Anema notarisii
ANEM-SP	Anema species
ANEONAR	Anemonastrum narcissiflorum
ANEO-SP	Anemonastrum SPECIES
ANENNEM	Anemone nemorosa
ANENRAN	Anemone ranunculoides
ANEN-SP	Anemone species
ANENSYL	Anemone sylvestris
ANEN*RA	Anemone x seemenii (A. nemorosa x ranunculoides)
ANETGRA	Anethum graveolens
ANET-SP	Anethum species
ANEUPIN	Aneura pinguis
ANEU-SP	Aneura species
ANGEARC	Angelica archangelica
ANGEA-A	Angelica archangelica ssp. archangelica
ANGEA-L	Angelica archangelica ssp. litoralis
ANGEPAL	Angelica palustris
ANGE-SP	Angelica species
ANGESYL	Angelica sylvestris
ANGES-B	Angelica sylvestris ssp. bernardiae
ANGES-S	Angelica sylvestris ssp. sylvestris
ANCHAZU	Anchusa azurea
ANCHOFF	Anchusa officinalis
ANCH-SP	Anchusa species
ANISBIF	Anisomeridium biforme
ANISCAR	Anisomeridium carinthiacum
ANISMAC	Anisomeridium macrocarpum
ANISNYS	Anisomeridium nyssaegenum
ANIS-SP	Anisomeridium species
ANODCRI	Anoda cristata
ANOD-SP	Anoda species
ANOEAES	Anoectangium aestivum
ANOEHOR	Anoectangium hornschuchianum
ANOESEN	Anoectangium sendtnerianum
ANOESCH	Anoectangium schliephackei
ANOE-SP	Anoectangium species
ANOETAE	Anoectangium taeniatifolium
ANOETEN	Anoectangium tenuinerve
ANOEWAR	Anoectangium warburgii
ANOMJUL	Anomobryum julaceum
ANOMLUS	Anomobryum lusitanicum
ANOM-SP	Anomobryum species
ANOOATT	Anomodon attenuatus
ANOOLON	Anomodon longifolius
ANOOROS	Anomodon rostratus
ANOORUG	Anomodon rugelii
ANOO-SP	Anomodon species
ANOOVIT	Anomodon viticulosus
ANTEDIO	Antennaria dioica
ANTE-SP	Antennaria species
ANTHJUL	Anthelia julacea
ANTHJUR	Anthelia juratzkana
ANTH-SP	Anthelia species
ANTMARV	Anthemis arvensis
ANTMCOT	Anthemis cotula
ANTMCRE	Anthemis cretica
ANTMC-C	Anthemis cretica ssp. columnae
ANTMRUT	Anthemis ruthenica
ANTM-SP	Anthemis species
ANTRLIL	Anthericum liliago
ANTRRAM	Anthericum ramosum
ANTR-SP	Anthericum species
ANTOAGR	Anthoceros agrestis
ANTOCAU	Anthoceros caucasicus
ANTONEE	Anthoceros neesii
ANTOPUN	Anthoceros punctatus
ANTO-SP	Anthoceros species
ANTXALP	Anthoxanthum alpinum
ANTXARI	Anthoxanthum aristatum
ANTXODO	Anthoxanthum odoratum
ANTX#OD	Anthoxanthum odoratum agg.
ANTX-SP	Anthoxanthum species
ANTICAU	Anthriscus caucalis
ANTICER	Anthriscus cerefolium
