"ShortName"	"FullName"
"ALCHFIL"	"Alchemilla filicaulis"
"ALCHF-F"	"Alchemilla filicaulis ssp. filicaulis"
"ALCHF-V"	"Alchemilla filicaulis ssp. vestita"
"ALCH#FI"	"Alchemilla fissa agg."
"ALCHFIS"	"Alchemilla fissa"
"ALCHFLA"	"Alchemilla flabellata"
"ALCHFLC"	"Alchemilla flaccida"
"ALCHGLA"	"Alchemilla glabra"
"ALCHGLC"	"Alchemilla glacialis"
"ALCHGLU"	"Alchemilla glaucescens"
"ALCHGLO"	"Alchemilla glomerulans"
"ALCHGRA"	"Alchemilla gracillima"
"ALCHGRO"	"Alchemilla grossidens"
"ALCHGRU"	"Alchemilla gruneica"
"ALCHHIR"	"Alchemilla hirtipes"
"ALCHHOP"	"Alchemilla hoppeana"
"ALCH#HY"	"Alchemilla hybrida agg."
"ALCHIMP"	"Alchemilla impexa"
"ALCHINC"	"Alchemilla incisa"
"ALCHINO"	"Alchemilla inconcinna"
"ALCHKER"	"Alchemilla kerneri"
"ALCHLIN"	"Alchemilla lineata"
"ALCHLON"	"Alchemilla longana"
"ALCHLOG"	"Alchemilla longituba"
"ALCHMAT"	"Alchemilla matreiensis"
"ALCHMAU"	"Alchemilla maureri"
"ALCHMIC"	"Alchemilla micans"
"ALCHMOL"	"Alchemilla mollis"
"ALCHMON"	"Alchemilla monticola"
"ALCHNIT"	"Alchemilla nitida"
"ALCHNOR"	"Alchemilla norica"
"ALCHOBS"	"Alchemilla obscura"
"ALCHOBO"	"Alchemilla obsoleta"
"ALCHOBT"	"Alchemilla obtusa"
"ALCHO-O"	"Alchemilla obtusa ssp. obtusa"
"ALCHO-T"	"Alchemilla obtusa ssp. trapezialis"
"ALCHOTH"	"Alchemilla othmarii"
"ALCHPAL"	"Alchemilla pallens"
"ALCHPEN"	"Alchemilla pentaphyllea"
"ALCHPHI"	"Alchemilla philonotis"
"ALCHPLA"	"Alchemilla platygyria"
"ALCHPLI"	"Alchemilla plicata"
"ALCHPRO"	"Alchemilla propinqua"
"ALCHREN"	"Alchemilla reniformis"
"ALCHRHO"	"Alchemilla rhododendrophila"
"ALCHRUB"	"Alchemilla rubristipula"
"ALCHSAX"	"Alchemilla saxatilis"
"ALCHSEM"	"Alchemilla semihirta"
"ALCHSEI"	"Alchemilla semisecta"
"ALCHSER"	"Alchemilla sericoneura"
"ALCHSIN"	"Alchemilla sinuata"
"ALCH#SP"	"Alchemilla splendens agg."
"ALCHSPL"	"Alchemilla splendens"
"ALCHSTI"	"Alchemilla stiriaca"
"ALCHSTR"	"Alchemilla straminea"
"ALCHSTG"	"Alchemilla strigosula"
"ALCHSUA"	"Alchemilla suavis"
"ALCHSUB"	"Alchemilla subcrenata"
"ALCHSUG"	"Alchemilla subglobosa"
"ALCHSUS"	"Alchemilla subsericea"
"ALCHTEN"	"Alchemilla tenuis"
"ALCHTIR"	"Alchemilla tirolensis"
"ALCHTYT"	"Alchemilla tytthantha"
"ALCHUND"	"Alchemilla undulata"
"ALCHURS"	"Alchemilla ursina"
"ALCHVEL"	"Alchemilla velebitica"
"ALCHVER"	"Alchemilla versipila"
"ALCH#VU"	"Alchemilla vulgaris agg."
"ALCHVUL"	"Alchemilla vulgaris s.str."
"ALCHWAL"	"Alchemilla walasii"
"ALCHXAN"	"Alchemilla xanthochlora"
"ALCHACO"	"Alchemilla acrostegia"
"ALCHAEQ"	"Alchemilla aequidens"
"ALCHAMA"	"Alchemilla amauroptera"
"ALCHAMB"	"Alchemilla amblyodes"
"ALCHAMI"	"Alchemilla amicorum"
"ALCHANM"	"Alchemilla animosa"
"ALCHASP"	"Alchemilla aspera"
"ALCHBAB"	"Alchemilla babiogorensis"
"ALCHBOG"	"Alchemilla bogumilii"
"ALCHBOL"	"Alchemilla boleslai"
"ALCHBRA"	"Alchemilla brachycodon"
"ALCHCHI"	"Alchemilla chilitricha"
"ALCHCOO"	"Alchemilla colorata auct. carpat."
"ALCHCOT"	"Alchemilla contractilis"
"ALCHCUI"	"Alchemilla curtischista"
"ALCHDEU"	"Alchemilla decurrens"
"ALCHDEL"	"Alchemilla delitescens"
"ALCHECH"	"Alchemilla echinogloba"
"ALCHERY"	"Alchemilla erythropoda"
"ALCHEUG"	"Alchemilla eugenii"
"ALCHEXA"	"Alchemilla exaperta"
"ALCHFUS"	"Alchemilla fusoidea"
"ALCHGIE"	"Alchemilla giewontica"
"ALCHGOR"	"Alchemilla gorcensis"
"ALCHGRN"	"Alchemilla grandiceps"
"ALCHGYM"	"Alchemilla gymnopoda"
"ALCHHYP"	"Alchemilla hyperptycha"
"ALCHISO"	"Alchemilla isodonta"
"ALCHJAS"	"Alchemilla jasiewiczii"
"ALCHKOR"	"Alchemilla kornasiana"
"ALCHKOS"	"Alchemilla kosiarensis"
"ALCHKUL"	"Alchemilla kulczynskii"
"ALCHLAE"	"Alchemilla laevipes"
"ALCHLOI"	"Alchemilla longidens"
"ALCHLOR"	"Alchemilla lorata"
"ALCHLOX"	"Alchemilla loxotropa"
"ALCHLUD"	"Alchemilla ludovitiana"
"ALCHMAR"	"Alchemilla marginata"
"ALCHMEG"	"Alchemilla megalodonta"
"ALCHMIR"	"Alchemilla microsphaerica"
"ALCHMIO"	"Alchemilla microsphaerica s.lat."
"ALCHMOI"	"Alchemilla mollifolia"
"ALCHMOC"	"Alchemilla moncophila"
"ALCHMUL"	"Alchemilla multiloba"
"ALCHOBE"	"Alchemilla obesa"
"ALCHOCU"	"Alchemilla oculimarina"
"ALCHPAT"	"Alchemilla patens"
"ALCHPSE"	"Alchemilla pseudincisa"
"ALCHPSU"	"Alchemilla pseudothmarii"
"ALCHPUN"	"Alchemilla pungentiflora"
"ALCHREV"	"Alchemilla reversantha"
"ALCHRHD"	"Alchemilla rhodocycla"
"ALCHSEJ"	"Alchemilla sejuncta"
"ALCHSEC"	"Alchemilla sericoneuroides"
"ALCHSMA"	"Alchemilla smaragdina"
"ALCHSOJ"	"Alchemilla sojakii"
"ALCHSTA"	"Alchemilla stanislaae"
"ALCHSTE"	"Alchemilla stenoleuca"
"ALCHSUC"	"Alchemilla subconnivens"
"ALCHSUE"	"Alchemilla subsessilis"
"ALCHSUP"	"Alchemilla superata"
"ALCHTAC"	"Alchemilla tacikii"
"ALCHTHA"	"Alchemilla thaumasia"
"ALCHVIR"	"Alchemilla virginea"
"ALCHWAI"	"Alchemilla wallischii"
"ALCHZAP"	"Alchemilla zapalowiczii"
"ALCH-SP"	"Alchemilla species"
"ALDRVES"	"Aldrovanda vesiculosa"
"ALDR-SP"	"Aldrovanda species"
"ALECNIG"	"Alectoria nigricans"
"ALECOCH"	"Alectoria ochroleuca"
"ALECSAR"	"Alectoria sarmentosa"
"ALEC-SP"	"Alectoria species"
"ALISGRA"	"Alisma gramineum"
"ALISLAN"	"Alisma lanceolatum"
"ALIS#PL"	"Alisma plantago-aquatica agg."
"ALISPLA"	"Alisma plantago-aquatica"
"ALIS-SP"	"Alisma species"
"ALKATIN"	"Alkanna tinctoria"
"ALKA-SP"	"Alkanna species"
"ALLAALP"	"Allantoparmelia alpicola"
"ALLA-SP"	"Allantoparmelia species"
"ALLIPET"	"Alliaria petiolata"
"ALLI-SP"	"Alliaria species"
"ALLUANG"	"Allium angulosum"
"ALLUASC"	"Allium ascalonicum"
"ALLUATR"	"Allium atropurpureum"
"ALLUCAR"	"Allium carinatum"
"ALLUC-C"	"Allium carinatum ssp. carinatum"
"ALLUC-P"	"Allium carinatum ssp. pulchellum"
"ALLUCEP"	"Allium cepa"
"ALLUCHR"	"Allium christophii"
