Number	ShortName	FullName
601	ANCHAZU	Anchusa azurea
603	ANCHOFF	Anchusa officinalis
604	ANCHOVA	Lycopsis orientalis
605	ANCH-SP	Anchusa species
606	ANDRALP	Andreaea alpestris
607	ANDRALI	Andreaea alpina
608	ANDRBLY	Andreaea blytii
609	ANDRCRA	Andreaea crassinervia
610	ANDRFRI	Andreaea frigida
611	ANDRHEI	Andreaea heinemannii
612	ANDRMEG	Andreaea megistospora
613	ANDRMUT	Andreaea mutabilis
614	ANDRNIV	Andreaea nivalis
615	ANDROBO	Andreaea obovata
616	ANDRROT	Andreaea rothii
617	ANDRR-F	Andreaea rothii ssp. falcata
618	ANDRR-R	Andreaea rothii ssp. rothii
619	ANDRRUP	Andreaea rupestris
620	"ANDRR;P"	Andreaea rupestris var. papillosa
621	"ANDRR;R"	Andreaea rupestris var. rupestris
622	ANDRSIN	Andreaea sinuosa
623	ANDR-SP	Andreaea species
624	ANDOPOL	Andromeda polifolia
625	ANDO-SP	Andromeda species
628	ANDSELO	Androsace elongata
632	ANDSMAX	Androsace maxima
634	ANDSSEP	Androsace septentrionalis
638	ANDS-SP	Androsace species
641	ANEMDEC	Anema decipiens
642	ANEMNOT	Anema notarisii
643	ANEM-SP	Anema species
646	ANEONAR	Anemonastrum narcissiflorum
647	ANEONEM	Anemone nemorosa
648	ANEORAN	Anemone ranunculoides
649	ANEOSYL	Anemone sylvestris
651	ANEO-SP	Anemone species
652	ANETGRA	Anethum graveolens
653	ANET-SP	Anethum species
654	ANEUPIN	Aneura pinguis
655	ANEU-SP	Aneura species
656	ANGEARC	Angelica archangelica
657	ANGEA-A	Angelica archangelica ssp. archangelica
658	ANGEA-L	Angelica archangelica ssp. litoralis
659	ANGEPAL	Angelica palustris
660	ANGESYL	Angelica sylvestris
661	ANGE-SP	Angelica species
662	ANISBIF	Anisomeridium biforme
663	ANISCAR	Anisomeridium carinthiacum
664	ANISMAC	Anisomeridium macrocarpum
665	ANISNYS	Anisomeridium nyssaegenum
666	ANIS-SP	Anisomeridium species
667	ANODCRI	Anoda cristata
668	ANOD-SP	Anoda species
669	ANOEAES	Anoectangium aestivum
670	ANOEHOR	Anoectangium hornschuchianum
671	ANOESCH	Anoectangium schliephackei
672	ANOESEN	Anoectangium sendtnerianum
673	ANOETAE	Anoectangium taeniatifolium
674	ANOETEN	Anoectangium tenuinerve
675	ANOEWAR	Anoectangium warburgii
676	ANOE-SP	Anoectangium species
677	ANOMJUL	Anomobryum julaceum
678	ANOMLUS	Anomobryum lusitanicum
679	ANOM-SP	Anomobryum species
680	ANOOATT	Anomodon attenuatus
681	ANOOLON	Anomodon longifolius
682	ANOOROS	Anomodon rostratus
683	ANOORUG	Anomodon rugelii
684	ANOOVIT	Anomodon viticulosus
685	ANOO-SP	Anomodon species
687	ANTEDIO	Antennaria dioica
688	ANTE-SP	Antennaria species
689	ANTHJUL	Anthelia julacea
690	ANTHJUR	Anthelia juratzkana
691	ANTH-SP	Anthelia species
693	ANTMARV	Anthemis arvensis
694	ANTMAUS	Cota austriaca
696	ANTMCOT	Anthemis cotula
697	ANTMMON	Anthemis cretica ssp. columnae
698	ANTMRUT	Anthemis ruthenica
700	ANTMTIN	Cota tinctoria
701	ANTMT-S	Cota tinctoria ssp. subtinctoria
702	ANTMT-T	Cota tinctoria ssp. tinctoria
703	ANTM-SP	Anthemis species
704	ANTRLIL	Anthericum liliago
705	ANTRRAM	Anthericum ramosum
706	ANTR-SP	Anthericum species
707	ANTOAGR	Anthoceros agrestis
708	ANTOCAU	Anthoceros caucasicus
709	ANTONEE	Anthoceros neesii
710	ANTOPUN	Anthoceros punctatus
711	ANTO-SP	Anthoceros species
712	ANTXALP	Anthoxanthum alpinum
713	ANTX#OD	Anthoxanthum odoratum agg.
714	ANTXODO	Anthoxanthum odoratum
715	ANTXPUE	Anthoxanthum aristatum
716	ANTX-SP	Anthoxanthum species
717	ANTICAU	Anthriscus caucalis
718	ANTICER	Anthriscus cerefolium
719	"ANTIC;C"	Anthriscus cerefolium var. cerefolium
720	"ANTIC;L"	Anthriscus cerefolium var. trichocarpus
721	ANTINIT	Anthriscus nitidus
722	ANTISYL	Anthriscus sylvestris
723	ANTI-SP	Anthriscus species
726	ANTYVUL	Anthyllis vulneraria
728	ANTYV-C	Anthyllis vulneraria ssp. carpatica
729	ANTYV-P	Anthyllis vulneraria ssp. polyphylla
730	ANTYV-S	Anthyllis vulneraria ssp. pseudovulneraria
732	ANTY-SP	Anthyllis species
733	ANTNMAJ	Antirrhinum majus
734	ANTN-SP	Antirrhinum species
735	ANTTCAL	Antitrichia californica
736	ANTTCUR	Antitrichia curtipendula
737	ANTT-SP	Antitrichia species
738	ANZICAR	Anzina carneonivea
739	"ANZIC;C"	Anzina carneonivea var. carneonivea
740	"ANZIC;T"	Anzina carneonivea var. tetraspora
741	ANZI-SP	Anzina species
742	AONGLON	Aongstroemia longipes
743	AONG-SP	Aongstroemia species
744	APERINT	Apera interrupta
745	APERSPI	Apera spica-venti
746	APER-SP	Apera species
747	APHAARV	Aphanes arvensis
748	APHAAUS	Aphanes australis
749	APHA-SP	Aphanes species
750	APHNMIC	Aphanolejeunea microscopica
751	APHN-SP	Aphanolejeunea species
752	APHOCOE	Aphanopsis coenosa
753	APHO-SP	Aphanopsis species
756	APIUGRA	Apium graveolens
758	APIU-SP	Apium species
759	APOMPUB	Apometzgeria pubescens
760	APOM-SP	Apometzgeria species
761	APOSFOE	Aposeris foetida
762	APOS-SP	Aposeris species
764	AQUIATR	Aquilegia atrata
768	AQUIVUL	Aquilegia vulgaris
769	AQUI-SP	Aquilegia species
770	ARABTHA	Arabidopsis thaliana
771	ARAB-SP	Arabidopsis species
772	ARAI#AL	Arabis alpina agg.
773	ARAIALP	Arabis alpina
774	ARAIAUR	Arabis auriculata
778	ARAICAU	Arabis caucasica
780	ARAIGLA	Turritis glabra
781	ARAIHIR	Arabis hirsuta
782	ARAI#HI	Arabis hirsuta agg.
784	ARAINEM	Arabis nemorensis
786	ARAIPAU	Fourraea alpina
787	ARAIPRO	Arabis procurrens
788	ARAISAG	Arabis sagittata
792	ARAISUD	Arabis sudetica
793	ARAITUR	Pseudoturritis turrita
795	ARAI-SP	Arabis species
796	ARCHALT	Archidium alternifolium
797	ARCH-SP	Archidium species
798	ARCTLAP	Arctium lappa
799	ARCT#MI	Arctium minus s.lat.*
800	ARCTMIN	Arctium minus
801	ARCTNEM	Arctium nemorosum
802	ARCTTOM	Arctium tomentosum
803	ARCT*PU	Arctium x maassii (A. minus x nemorosum)
804	ARCT-SP	Arctium species
805	ARCOAND	Arctoa anderssonii
806	ARCOFUL	Arctoa fulvella
807	ARCOHYP	Arctoa hyperborea
808	ARCO-SP	Arctoa species
810	ARCSUVA	Arctostaphylos uva-ursi
811	ARCS-SP	Arctostaphylos species
812	ARCECAL	Arctotheca calendula
813	ARCE-SP	Arctotheca species
814	AREMAGR	Aremonia agrimonoides
815	AREM-SP	Aremonia species
819	ARENGRA	Arenaria grandiflora
820	ARENLEP	Arenaria leptoclados
825	AREN#SE	Arenaria serpyllifolia agg.
826	ARENSER	Arenaria serpyllifolia
829	ARENPAT	Arenaria martrinii
